stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:49:251:0:3","Dänenstraße","48.2371427170224","16.3341656281002","0100"
"at:49:252:0:2","Döblinger Bad","48.2512252795623","16.357216398294","0100"
"at:49:253:0:1","Döblinger Friedhof","48.2390154307821","16.3295572706921","0100"
"at:49:254:0:1","Döblinger Steg","48.2409239726738","16.3654898820619","0100"
"at:49:254:0:2","Döblinger Steg","48.2406726953665","16.3653012358522","0100"
"at:49:255:0:1","Dörmanngasse","48.2223201330669","16.5341126440674","0100"
"at:49:255:0:2","Dörmanngasse","48.2223500578273","16.5339419641634","0100"
"at:49:256:0:1","Kraftwerk Simmering","48.1848885250571","16.4306446896281","0100"
"at:49:256:0:2","Kraftwerk Simmering","48.18485258907","16.4307704537679","0100"
"at:49:257:0:1","Eberstorferweg","48.1546514672909","16.2799612838489","0100"
"at:49:257:0:2","Eberstorferweg","48.1546454744291","16.2801499300586","0100"
"at:49:258:0:1","Edelsteingasse","48.2622541114538","16.4253086968397","0100"
"at:49:258:0:2","Edelsteingasse","48.2623796972481","16.4258836186216","0100"
"at:49:259:0:1","Edenstraße","48.2149581105196","16.2462295449255","0100"
"at:49:26:0:1","Alsegger Straße","48.2317276158681","16.3241763621394","0100"
"at:49:26:0:3","Alsegger Straße","48.231667777295","16.3245536545588","0100"
"at:49:260:0:1","Strebersdorf, Edmund-Hawranek-Platz","48.2910709498007","16.3863846955734","0100"
"at:49:260:0:3","Strebersdorf, Edmund-Hawranek-Platz","48.2911068112549","16.3862319819751","0100"
"at:49:260:0:4","Strebersdorf, Edmund-Hawranek-Platz","48.2911068112549","16.3862858808921","0100"
"at:49:260:0:5","Strebersdorf, Edmund-Hawranek-Platz","48.2914654244118","16.3866541901587","0100"
"at:49:261:0:1","Eduard-Kittenberger-Gasse","48.1367356774487","16.3036857905058","0100"
"at:49:261:0:2","Eduard-Kittenberger-Gasse","48.1368076168431","16.3036857905058","0100"
"at:49:262:0:1","Albrechtskreithgasse","48.219423333453","16.3206369999195","0100"
"at:49:262:0:2","Albrechtskreithgasse","48.2191300532798","16.3204214042513","0100"
"at:49:263:0:1","Egon-Friedell-Gasse","48.2737110499804","16.4363220422245","0100"
"at:49:263:0:2","Egon-Friedell-Gasse","48.273693113149","16.4364567895172","0100"
"at:49:264:0:1","Eibesbrunnergasse","48.1713029266888","16.3375792261804","0100"
"at:49:264:0:2","Eibesbrunnergasse","48.1709434704441","16.3377409229315","0100"
"at:49:264:0:3","Eibesbrunnergasse","48.1711351807549","16.3371660011496","0100"
"at:49:266:0:1","Eichbachgasse","48.2215241280191","16.2474692200178","0100"
