route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"23-11-E-j20-1","04","11","Schrankenberggasse - Gottschalk/Enkplatz Schienenersatzverkehr gültig vom 23.10. bis 01.11.2020","3","",""
"23-12A-j20-1","04","12A","Schmelz, Gablenzgasse - Eichenstraße gültig bis 16.11.2020","3","0A295D","FFFFFF"
"23-12A-j20-2","04","12A","Schmelz, Gablenzgasse - Eichenstraße gültig ab 17.11.2020","3","0A295D","FFFFFF"
"23-13A-j20-1","04","13A","Alser Straße, Skodagasse - Hauptbahnhof gültig ab 07.09.2020","3","0A295D","FFFFFF"
"23-14A-j20-1","04","14A","Neubaugasse - Reumannplatz","3","0A295D","FFFFFF"
"23-15A-j20-1","04","15A","Meidling, Schedifkaplatz - Enkplatz","3","0A295D","FFFFFF"
"23-16A-j20-1","04","16A","Hetzendorf - Alaudagasse","3","0A295D","FFFFFF"
"23-17A-j20-1","04","17A","Inzerdorf, Birostraße - Alaudagasse - Oberlaa","3","0A295D","FFFFFF"
"23-19A-j20-1","04","19A","Alaudagasse - Ada Christen Gasse","3","0A295D","FFFFFF"
"23-1A-j20-1","04","1A","Stephansplatz - Schottentor","3","0A295D","FFFFFF"
"23-20A-j20-1","04","20A","Kaisermühlen-VIC - Neue Donau (- Floridsdorf)","3","0A295D","FFFFFF"
"23-20B-j20-1","04","20B","Neue Donau - Alte Donau gültig vom 29.05. bis 13.09.2020","3","0A295D","FFFFFF"
"23-22A-j20-1","04","22A","Kagran - Aspernstraße","3","0A295D","FFFFFF"
"23-24A-j20-1","04","24A","Kagraner Platz - Neueßling","3","0A295D","FFFFFF"
"23-25A-j20-1","04","25A","Rennbahnweg - Süßenbrunner Platz","3","0A295D","FFFFFF"
"23-26A-j20-1","04","26A","Kagran - Großenzersdorf","3","0A295D","FFFFFF"
"23-27A-j20-1","04","27A","Kagran - Hermann-Gebauer-Straße","3","0A295D","FFFFFF"
"23-28A-j20-1","04","28A","Floridsdorf - Aderklaaerstraße gültig bis 26.10.2020","3","0A295D","FFFFFF"
"23-29A-j20-1","04","29A","Floridsdorf - Großfeldsiedlung","3","0A295D","FFFFFF"
"23-2A-j20-1","04","2A","Schwedenplatz - Schwarzenbergplatz","3","0A295D","FFFFFF"
"23-30A-j20-1","04","30A","Neu Leopoldau - Freiheitsplatz","3","0A295D","FFFFFF"
"23-31A-j20-1","04","31A","Kagraner Platz - Jochbergengasse","3","0A295D","FFFFFF"
"23-32A-j20-1","04","32A","Leopoldau - Strebersdorf","3","0A295D","FFFFFF"
"23-33A-j20-1","04","33A","Floridsdorf - Mühlschüttel","3","0A295D","FFFFFF"
"23-34A-j20-1","04","34A","Floridsdorf - Schwarzlackenau (- Strebersdorf)","3","0A295D","FFFFFF"
"23-35A-j20-1","04","35A","Spittelau - Salmannsdorf","3","0A295D","FFFFFF"
"23-36A-j20-1","04","36A","Jedlesee, Bellgasse - Carabelligasse","3","0A295D","FFFFFF"
"23-36B-j20-1","04","36B","Leopoldau - Jedlesee, Bellgasse","3","0A295D","FFFFFF"
"23-37A-j20-1","04","37A","Engerthstraße/Traisengasse - Nußdorfer Straße (- Dänenstraße)","3","0A295D","FFFFFF"
"23-38A-j20-1","04","38A","Heiligenstadt - Kahlenberg (-Leopoldsberg) gültig ab 01.11.2020","3","0A295D","FFFFFF"
"23-38A-j20-2","04","38A","Heiligenstadt - Kahlenberg (-Leopoldsberg) gültig ab 05.08. bis 31.10.2020","3","0A295D","FFFFFF"
"23-38B-j20-1","04","38B","Nußdorf, Beethovengang - Nußdorf Friedhof - Heiligenstädter Friedhof Allerheiligenverkehr","3","0A295D","FFFFFF"
"23-39A-j20-1","04","39A","Heiligenstadt - Sievering gültig ab 01.11.2020","3","0A295D","FFFFFF"
"23-39A-j20-2","04","39A","Heiligenstadt - Sievering gültig ab 05.08. bis 31.10.2020","3","0A295D","FFFFFF"
"23-39B-j20-2","04","39B","Karthäuserstraße - Sieveringer Friedhof gültig am 01.11.2020","3","0A295D","FFFFFF"
"23-3A-j20-1","04","3A","Schottenring - Stubentor","3","0A295D","FFFFFF"
"23-40A-j20-1","04","40A","Schottentor - Döblinger Friedhof","3","0A295D","FFFFFF"
"23-41A-j20-1","04","41A","Pötzleinsdorf - Neustifter Friedhof 3.Tor nicht gültig am 01.11.2020","3","0A295D","FFFFFF"
"23-41A-j20-2","04","41A","Pötzleinsdorf - Neustifter Friedhof 3. Tor gültig am 01.11.2020","3","0A295D","FFFFFF"
"23-42A-j20-1","04","42A","Hernals - Schafberghöhe ab 7.9.2020","3","0A295D","FFFFFF"
"23-43A-j20-1","04","43A","Neuwaldegg - Cobenzl Parkplatz Winterfahrplan ab 25.10.2020","3","0A295D","FFFFFF"
"23-43A-j20-2","04","43A","Neuwaldegg - Cobenzl Parkplatz Sommerfahrplan","3","0A295D","FFFFFF"
"23-43B-j20-1","04","43B","Hütteldorf - Agnesgasse Winterfahrplan ab 25.10.2020","3","0A295D","FFFFFF"
"23-43B-j20-2","04","43B","Hütteldorf - Neustift, Agnesgasse Sommerfahrplan ab 29.5. bis 24.10.2020","3","0A295D","FFFFFF"
"23-44A-j20-1","04","44A","Hernals - Mitterberg","3","0A295D","FFFFFF"
"23-45A-j20-1","04","45A","Ottakring - Liebhartstal","3","0A295D","FFFFFF"
"23-46A-j20-1","04","46A","Ottakring - Wilhelminenberg","3","0A295D","FFFFFF"
"23-46B-j20-1","04","46B","Ottakring - Ottakringer Bad - Wilhelminenberg nicht gültig am 01.11.2020","3","0A295D","FFFFFF"
"23-46B-j20-2","04","46B","Ottakring - Wilhelminenberg gültig am 01.11.2020","3","0A295D","FFFFFF"
"23-47A-j20-1","04","47A","Unter St. Veit - Baumgartner Höhe gültig bis 30.09.2020","3","0A295D","FFFFFF"
"23-47A-j20-2","04","47A","Unter St. Veit - Baumgartner Höhe gültig ab 01.10.2020","3","0A295D","FFFFFF"
"23-47A-j20-3","04","47A","Unter St. Veit - Baumgartner Höhe gültig am 01.11.2020","3","0A295D","FFFFFF"
"23-47B-j20-1","04","47B","Hütteldorf - Hüttelberg","3","0A295D","FFFFFF"
"23-48A-j20-1","04","48A","Ring/Volkstheater - Baumgartner Höhe","3","0A295D","FFFFFF"
"23-49A-j20-1","04","49A","Hütteldorf - Wolfersberg, Schöffelplatz gültig bis 30.09.2020","3","0A295D","FFFFFF"
"23-49A-j20-2","04","49A","Wolfersberg, Schöffelplatz - Hütteldorf gültig ab 01.10.2020","3","0A295D","FFFFFF"
"23-49-E-j20-1","04","49E","Hütteldorfer Straße - Breitensee Shuttlebus gültig vom 24.10. bis 01.11.2020","3","",""
"23-4A-j20-1","04","4A","Karlsplatz - Wittelsbachstraße","3","0A295D","FFFFFF"
"23-50A-j20-1","04","50B","Hütteldorf - Auhof gültig bis 30.09.2020","3","0A295D","FFFFFF"
"23-50A-j20-2","04","50B","Hütteldorf - Auhof gültig ab 01.10.2020","3","0A295D","FFFFFF"
"23-50B-j20-1","04","50B","Hütteldorf - Auhof gültig bis 30.09.2020","3","0A295D","FFFFFF"
"23-50B-j20-2","04","50B","Hütteldorf - Auhof gültig ab 01.10.2020","3","0A295D","FFFFFF"
"23-51A-j20-1","04","51A","Hietzing - Ottakringer Bad","3","0A295D","FFFFFF"
"23-52A-j20-1","04","52A","Hütteldorf - Jägerwaldsiedlung","3","0A295D","FFFFFF"
"23-52B-j20-1","04","52B","Hütteldorf - Siedlung Kordon (- Feuerwache Am Steinhof)","3","0A295D","FFFFFF"
"23-53A-j20-1","04","53A","Unter St. Veit, Verbindungsbahn - Hütteldorf","3","0A295D","FFFFFF"
"23-54A-j20-1","04","54A","Ober St. Veit - Stock im Weg","3","0A295D","FFFFFF"
"23-54B-j20-1","04","54B","Ober St. Veit - Stock im Weg","3","0A295D","FFFFFF"
"23-56A-j20-1","04","56A","Hietzing - Atzgersdorf","3","0A295D","FFFFFF"
"23-56B-j20-1","04","56B","Hietzing - Lainzer Tor","3","0A295D","FFFFFF"
"23-57A-j20-1","04","57A","Burgring - Anschützgasse","3","0A295D","FFFFFF"
"23-58A-j20-1","04","58A","Hietzing - Atzgersdorf","3","0A295D","FFFFFF"
"23-58B-j20-1","04","58B","Hietzing - Atzgersdorf","3","0A295D","FFFFFF"
"23-59A-j20-1","04","59A","Oper/Karlsplatz - Meidling","3","0A295D","FFFFFF"
"23-5A-j20-1","04","5A","Nestroyplatz - Griegstraße","3","0A295D","FFFFFF"
